Player,Club,POS,GP,GS,MINS,G,A,SHTS,SOG,FC,FS,OFF,YC,RC,Year
Mark Watson,CLB,D,18,18,1563,1,0,2,1,27,14,0,3,1,1996
Richard Farrer,DAL,D,31,31,2758,1,0,3,2,35,29,1,2,0,1996
Robin Fraser,LA ,D,27,27,2390,1,0,6,1,27,16,0,3,0,1996
Matt Kmosko,COL,D,31,31,2788,1,0,6,4,24,23,0,5,0,1996
Sean Henderson,COL,M,9,9,780,1,0,7,3,7,10,0,0,0,1996
Zak Ibsen,DAL,M,22,18,1601,1,0,8,6,27,19,1,1,0,1996
Ted Chronopoulos,NE ,D,14,11,1000,1,0,8,4,10,12,0,1,0,1996
Brad Wilson,LA ,D,22,14,969,1,0,8,2,27,7,1,4,0,1996
Tim Martin,SJ ,D,32,32,2871,1,0,10,3,26,40,0,2,0,1996
John Garvey,LA ,F,13,3,517,1,0,10,5,5,7,0,0,0,1996
Ante Razov,LA ,F,3,1,172,1,0,10,4,1,2,1,0,0,1996
Dante Washington,CLB,F,9,2,317,1,0,11,5,6,11,2,0,0,1996
Brian Bliss,CLB,D,19,19,1566,1,0,12,4,27,26,2,3,0,1996
Chad Ashton,DAL,M,23,10,974,1,0,23,8,11,12,0,1,0,1996
Diego Gutierrez,KC ,D,28,24,2068,0,4,17,3,29,32,1,5,0,1996
John DeBrito,NE ,D,21,18,1537,0,4,18,7,26,15,9,4,0,1996
Paul Wright,KC ,F,17,7,690,0,3,7,3,6,23,4,0,0,1996
Sean Bowers,KC ,D,31,31,2769,0,3,12,4,46,18,1,1,0,1996
Eddie Lewis,SJ ,M,25,13,1253,0,3,14,7,18,23,3,0,1,1996
Evans Wise,TB ,M,23,17,1512,0,3,22,7,53,41,15,3,0,1996
Ruben Hernandez,MET,M,10,9,836,0,3,34,16,5,14,13,0,0,1996
Felipe Rodriguez,COL,M,10,5,472,0,2,1,1,6,9,1,0,0,1996
Manny Lagos,MET,M,6,6,483,0,2,6,4,4,3,1,0,0,1996
Eric Eichmann,KC ,F,15,4,481,0,2,8,6,3,8,0,0,0,1996
Kevin Wylie,NE ,F,22,22,1839,0,2,9,2,30,22,0,3,0,1996
Victor Mella,NE ,M,8,6,583,0,2,10,3,8,7,2,0,0,1996
Michael Emenalo,SJ ,D,29,28,2534,0,2,14,8,53,32,3,13,0,1996
Petter Villegas,MET,M,3,2,165,0,1,0,0,2,5,1,0,0,1996
Obi Monome,CLB,M,1,0,26,0,1,0,0,0,0,0,0,0,1996
Andrew Shue,LA ,F,5,0,96,0,1,0,0,1,1,0,0,0,1996
Todd Miller,CLB,M,3,2,157,0,1,1,1,0,1,1,0,0,1996
Iain Fraser,NE ,D,23,23,2070,0,1,2,0,10,11,0,3,0,1996
Denis Hamlett,COL,D,31,31,2790,0,1,3,1,45,25,1,7,0,1996
Brian Kamler,DC ,M,12,3,470,0,1,4,2,4,3,0,0,0,1996
Kevin Koetters,KC ,M,15,6,743,0,1,4,2,8,7,0,0,0,1996
David Vaudreuil,DC ,D,14,13,1147,0,1,4,3,12,4,0,0,0,1996
Damian Silvera,MET,M,15,8,804,0,1,5,2,10,12,3,2,0,1996
Manny Motajo,LA ,D,20,16,1486,0,1,5,1,35,13,0,5,0,1996
Curt Onalfo,LA ,D,13,7,688,0,1,5,1,23,6,0,4,0,1996
Nidal Baba,MET,M,3,1,190,0,1,5,2,3,6,0,1,0,1996
Raimo De Vries,COL,F,4,4,355,0,1,5,2,2,3,8,0,0,1996
Adam Frye,TB ,D,15,9,725,0,1,6,4,14,6,3,3,1,1996
Rob Smith,CLB,M,9,9,765,0,1,6,2,15,5,1,2,0,1996
Dan Calichman,LA ,D,28,28,2372,0,1,8,2,35,24,1,7,0,1996
Scott Cannon,COL,D,21,16,1582,0,1,10,3,30,13,0,3,0,1996
Matt McKeon,KC ,D,12,9,823,0,1,10,9,14,7,0,2,0,1996
Edmundo Rodriguez,MET,M,11,5,473,0,1,10,4,11,3,6,0,0,1996
Samuel Ekeme,KC ,D,23,19,1693,0,1,20,9,25,21,0,4,1,1996
George Gelnovatch,DC ,M,2,2,135,0,0,0,0,1,4,0,0,0,1996
Said Fazlagic,DC ,D,2,1,136,0,0,0,0,3,1,0,1,0,1996
Ricci Greenwood,CLB,M,1,0,7,0,0,0,0,1,0,0,0,0,1996
Rivers Guthrie,TB ,M,0,0,0,0,0,0,0,0,0,0,0,0,1996
Ken Hesse,MET,F,1,1,90,0,0,0,0,0,0,0,0,0,1996
Mirsad Huseinovic,MET,M,1,1,45,0,0,0,0,0,0,1,0,0,1996
Mike Huwiler,DC ,M,5,3,247,0,0,0,0,1,3,0,1,0,1996
Tayt Ianni,SJ ,D,6,3,287,0,0,0,0,2,1,0,0,0,1996
Chris Brauchle,MET,M,5,3,323,0,0,0,0,0,5,1,0,0,1996
Danny Barber,MET,M,1,1,90,0,0,0,0,1,1,0,0,0,1996
Andrew Restrepo,MET,D,5,4,343,0,0,0,0,10,6,0,1,0,1996
Travis Rinker,MET,M,3,0,31,0,0,0,0,0,1,0,0,0,1996
Ed Pinon,COL,M,1,0,48,0,0,0,0,0,0,0,0,0,1996
Sterling Wescott,DC ,M,2,1,102,0,0,0,0,0,1,0,0,0,1996
Bojan Vuckovic,NE ,F,1,0,14,0,0,0,0,1,0,0,0,0,1996
Rene Ortiz,DAL,D,2,1,96,0,0,0,0,2,0,0,0,0,1996
Martin Munnelly,MET,M,1,0,23,0,0,0,0,0,1,0,0,0,1996
Omid Namazi,MET,M,1,0,12,0,0,0,0,0,0,0,0,0,1996
Brent Longenecker,MET,M,2,0,19,0,0,0,0,0,0,0,0,0,1996
Francis Okaroh,NE ,D,20,20,1777,0,0,0,0,34,22,0,6,1,1996
Thor Lee,DC ,D,2,2,134,0,0,0,0,2,2,0,1,0,1996
Stan Lembryk,MET,M,1,0,9,0,0,0,0,0,0,0,0,0,1996
Josh McKay,COL,M,4,1,125,0,0,0,0,0,1,0,1,0,1996
Greg Lalas,TB ,D,3,1,94,0,0,1,0,1,0,0,0,0,1996
Brandon Ward,CLB,M,6,3,304,0,0,1,1,7,6,0,0,0,1996
Rafael Amaya,SJ ,D,7,0,97,0,0,1,0,1,2,0,0,0,1996
Ben Crawley,DC ,F,5,0,82,0,0,1,0,2,2,0,1,0,1996
Troy Edwards,COL,D,4,3,289,0,0,1,0,2,2,0,0,0,1996
John Diffley,TB ,D,13,6,574,0,0,1,1,11,6,0,1,0,1996
Erik Imler,DC ,M,19,15,1355,0,0,1,0,17,4,0,0,0,1996
Louis Ken-Kwofie,MET,M,1,1,90,0,0,1,0,0,3,1,0,0,1996
Mac Cozier,CLB,F,13,0,155,0,0,2,1,6,3,3,1,0,1996
Tom Lips,NE ,D,8,5,473,0,0,2,1,17,3,0,3,0,1996
Ed Puskarich,DAL,D,18,14,1238,0,0,2,1,12,14,1,2,0,1996
Tommy Reasoner,KC ,D,13,7,646,0,0,3,1,4,8,2,0,0,1996
Brandon Pollard,DAL,D,10,9,820,0,0,3,1,8,8,0,0,0,1996
Richard Weiszmann,NE ,D,10,9,817,0,0,3,2,7,2,0,0,0,1996
Patrick Tardieu,NE ,F,5,0,69,0,0,3,1,1,1,0,0,0,1996
Jeff Zaun,MET,D,21,19,1584,0,0,3,1,20,26,0,5,0,1996
Ryshiem Henderson,SJ ,F,3,0,78,0,0,3,1,5,2,0,0,0,1996
Jorge Flores,DAL,M,8,3,292,0,0,3,2,5,4,0,2,0,1996
Frank Yallop,TB ,D,29,28,2513,0,0,3,0,15,9,0,4,0,1996
Shane Battelle,CLB,M,15,10,841,0,0,4,1,14,15,0,2,0,1996
Oscar Draguicevich,SJ ,D,19,17,1416,0,0,4,0,37,26,0,5,1,1996
Derek Backman,TB ,M,25,14,1368,0,0,4,1,20,8,0,2,0,1996
Juan Suarez,DC ,F,2,2,160,0,0,4,1,1,3,0,0,0,1996
Paul Young,CLB,F,4,1,137,0,0,5,4,0,4,0,0,0,1996
Jimmy Glenn,DAL,F,9,0,115,0,0,5,4,2,1,2,0,0,1996
Ian Butterworth,COL,D,17,17,1379,0,0,5,2,18,8,0,4,0,1996
Ted Gillen,MET,D,15,9,819,0,0,6,1,4,10,1,0,0,1996
Brian Bates,COL,M,19,7,896,0,0,6,3,9,8,0,2,0,1996
Clint Peay,DC ,D,19,18,1665,0,0,6,2,22,15,0,2,0,1996
Mickey Kydes,MET,M,11,7,556,0,0,8,5,6,6,0,3,0,1996
Matt Knowles,MET,D,21,16,1589,0,0,8,2,19,16,0,5,0,1996
Nelson Vargas,TB ,M,9,4,443,0,0,9,2,6,15,2,0,0,1996
Dominic Kinnear,COL,M,14,11,973,0,0,12,4,15,17,2,4,0,1996
Cristian da Silva,MET,D,20,12,1158,0,0,13,1,17,16,0,3,1,1996
Janusz Michallik,CLB,M,31,28,2490,0,0,14,2,30,23,0,2,0,1996
Jaime Moreno,DC ,F,20,20,1725,16,8,66,46,30,40,19,2,0,1997
Raul Diaz Arce,DC ,F,22,20,1790,15,6,68,45,21,19,32,0,0,1997
Giovanni Savarese,MET,F,29,23,2069,14,4,49,27,53,53,29,4,0,1997
Preki,KC ,M,27,27,2330,12,17,84,44,27,32,8,4,0,1997
Ronald Cerritos,SJ ,F,22,22,1847,12,10,40,21,15,28,34,0,0,1997
Dante Washington,DAL,F,30,25,2162,12,6,69,38,29,56,23,6,0,1997
Damian,DAL,F,19,19,1479,11,7,68,34,19,61,42,7,2,1997
Welton,LA ,F,29,12,1321,11,3,44,18,28,39,18,2,0,1997
Lawrence Lozzano,SJ ,M,29,23,2096,10,10,65,36,39,58,40,2,0,1997
Mark Chung,KC ,M,32,32,2871,10,8,62,32,26,69,8,0,0,1997
Roy Lassiter,TB ,F,24,23,1885,10,2,48,30,16,31,32,2,0,1997
Jeff Baicher,SJ ,M,32,20,2031,10,2,74,36,37,54,19,4,0,1997
Antony De Avila,MET,F,23,21,1916,9,9,66,35,36,29,28,6,0,1997
Vitalis Takawira,KC ,F,28,23,2153,8,7,48,28,47,52,43,4,0,1997
Gilmar,TB ,M-F,16,16,1213,8,6,39,18,26,41,16,4,0,1997
Jason Kreis,DAL,M,32,21,2200,8,6,61,28,44,44,4,3,0,1997
Paul Bravo,COL,M,30,27,2445,8,6,63,28,29,31,9,1,0,1997
Pete Marino,CLB,F,28,7,1229,8,4,38,24,30,30,30,2,0,1997
Eduardo Hurtado,LA ,F,22,21,1772,8,3,69,33,36,31,33,3,0,1997
Harut Karapetyan,LA ,F,30,23,1770,8,3,75,35,23,26,19,1,0,1997
Chris Henderson,COL,M,30,29,2508,7,13,62,23,47,54,35,2,0,1997
Cobi Jones,LA ,M,26,25,2228,7,9,53,35,27,74,16,1,0,1997
Alberto Naveda,NE ,F,29,28,2394,7,6,69,38,66,75,6,1,0,1997
Gerell Elliott,DAL,F,28,15,1500,7,5,45,34,8,22,22,0,0,1997
Imad Baba,NE ,M,29,28,2391,7,5,50,25,34,49,6,1,0,1997
Alan Prampin,TB ,F,24,12,1212,7,3,26,17,7,16,16,0,0,1997
Mauricio Cienfuegos,LA ,M,22,22,1980,6,12,41,22,14,32,8,0,0,1997
Maurice Johnston,KC ,M-F,29,29,2564,6,9,56,33,52,31,14,9,1,1997
Brian McBride,CLB,F,13,13,1069,6,6,40,18,8,29,9,3,0,1997
Chiquinho Conde,NE ,F,25,25,2149,6,6,43,21,26,43,31,4,0,1997
Peter Vermes,COL,D,26,25,2206,6,4,29,12,37,42,1,1,0,1997
Eric Wynalda,SJ ,F,14,9,923,5,11,28,14,8,19,10,2,0,1997
Tony Sanneh,DC ,D,29,28,2274,5,11,39,19,42,41,10,6,0,1997
Steve Ralston,TB ,M,29,29,2493,5,11,42,19,21,40,6,0,0,1997
John Harkes,DC ,M,25,23,2066,5,9,43,18,19,26,17,3,0,1997
Giuseppe Galderisi,NE ,F,23,22,1726,5,8,49,21,30,70,27,8,0,1997
Frank Klopas,KC ,F,27,24,1967,5,7,46,26,32,38,20,3,0,1997
David Patino,COL,M-F,23,22,1741,5,6,42,20,6,11,1,1,0,1997
Wolde Harris,COL,F,27,15,1484,5,5,41,19,42,29,5,3,0,1997
Roy Wegerle,COL,F,31,23,1931,5,4,35,20,47,21,55,3,0,1997
Ivan McKinley,NE ,D-M,26,21,1981,5,4,38,18,25,20,5,6,0,1997
Paul Wright,KC ,F,30,18,1646,5,3,31,22,24,32,14,1,0,1997
A.J. Wood,CLB,F,29,21,1835,5,3,52,19,24,35,11,2,0,1997
Steve Trittschuh,COL,D,29,29,2566,5,1,25,12,48,29,1,7,1,1997
Adrian Paz,COL,M,25,24,2055,4,11,42,17,31,49,30,4,0,1997
Martin Machon,LA ,M,30,27,2437,4,6,51,27,33,28,2,3,0,1997
Ben Iroha,DC ,M,21,18,1391,4,5,17,6,34,14,1,3,1,1997
Shawn Medved,SJ ,M,31,15,1591,4,4,30,15,18,25,3,0,1,1997
Martin Vasquez,TB ,M,28,28,2475,4,3,43,19,41,46,2,7,1,1997
Joe-Max Moore,NE ,F,13,12,987,4,2,28,15,13,15,5,2,0,1997
Matt McKeon,KC ,D,31,30,2737,4,1,15,7,75,28,2,8,0,1997
Thomas Dooley,CLB,D,15,15,1310,4,1,26,15,15,17,0,0,0,1997
Jorge Rodriguez,DAL,M-D,24,21,1874,4,1,38,21,23,26,4,3,0,1997
Sam George,NE ,M,23,14,1327,4,0,18,10,20,12,2,2,0,1997
Mike Sorber,MET,M,22,22,1889,4,0,21,7,29,28,2,1,0,1997
Carlos Valderrama,TB ,M,20,20,1740,3,19,22,9,6,33,5,3,1,1997
Marco Etcheverry,DC ,M,20,19,1695,3,11,45,19,20,54,11,4,1,1997
Robert Warzycha,CLB,M,31,31,2722,3,11,92,29,36,71,14,3,0,1997
Roberto Donadoni,MET,M,32,31,2699,3,9,50,15,26,94,2,1,0,1997
Brian Maisonneuve,CLB,M,32,30,2734,3,9,52,23,52,50,14,2,0,1997
Chris Armas,LA ,M,28,28,2307,3,5,21,9,57,36,3,3,1,1997
Jesse Marsch,DC ,M,11,1,233,3,3,5,3,8,1,0,0,0,1997
Eddie Pope,DC ,D,29,29,2513,3,2,12,4,17,24,1,0,0,1997
Troy Dayak,SJ ,D,21,21,1817,3,2,18,9,28,15,2,3,0,1997
Nelson Vargas,TB ,M,21,9,967,3,2,21,6,16,33,1,0,0,1997
Marcelo Carrera,CLB,F,20,14,1224,3,2,26,11,20,25,7,0,0,1997
Shaun Bartlett,COL,F,23,15,1451,3,2,35,18,23,15,4,1,0,1997
Jose Vasquez,LA ,D,5,2,248,3,0,3,3,6,4,0,1,0,1997
Sean Bowers,KC ,D,26,24,2017,3,0,15,8,37,16,1,0,0,1997
Evans Wise,NE ,M,22,8,979,3,0,20,9,33,33,6,3,0,1997
Sean Henderson,COL,M,25,19,1650,3,0,20,12,40,24,1,5,0,1997
Eddie Lewis,SJ ,M,29,26,2233,2,14,35,21,37,41,17,0,1,1997
Miles Joseph,MET,M,29,15,1745,2,10,29,15,29,29,9,0,0,1997
Richie Williams,DC ,M,30,29,2606,2,9,22,8,56,39,3,3,0,1997
John Maessner,DC ,M-D,32,20,2008,2,9,32,18,11,22,5,2,0,1997
Alain Sutter,DAL,M,21,21,1801,2,8,46,24,19,37,4,3,0,1997
Mark Santel,DAL,M,31,26,2470,2,6,12,5,38,12,5,4,0,1997
Christopher Sullivan,SJ ,M,24,8,1017,2,6,17,8,16,19,1,0,0,1997
Kris Kelderman,DC ,M,24,9,910,2,4,11,6,8,10,0,1,0,1997
Tab Ramos,MET,M,13,13,1006,2,4,12,4,5,20,7,5,0,1997
Daniel Peinado,DAL,M,25,22,1870,2,4,13,9,57,46,0,4,1,1997
Dominic Kinnear,SJ ,M,28,24,1939,2,4,17,6,39,39,1,1,0,1997
John Kerr,NE ,F,19,14,1136,2,4,19,15,24,11,13,1,0,1997
Doctor Khumalo,CLB,M,18,18,1323,2,4,23,13,23,21,4,2,0,1997
Ross Paule,COL,M,19,7,858,2,3,7,4,15,9,3,1,0,1997
Alexi Lalas,NE ,D,30,29,2607,2,3,24,10,60,33,9,8,0,1997
Marcelo Balboa,COL,D,28,28,2520,2,3,44,13,23,26,2,2,0,1997
Jason Farrell,CLB,F,18,10,1027,2,2,25,8,11,10,4,0,0,1997
Danny Pena,LA ,D,27,26,2230,2,2,31,12,34,27,2,7,0,1997
Wade Webber,DAL,D,18,18,1588,2,1,7,3,27,13,1,1,0,1997
Todd Yeagley,CLB,M,27,22,1997,2,1,10,5,22,35,3,2,1,1997
Mark Semioli,LA ,D,29,28,2381,2,1,12,4,43,39,3,7,0,1997
John Doyle,SJ ,D,27,27,2376,2,1,21,12,51,25,1,8,0,1997
Ted Chronopoulos,NE ,D,30,30,2624,2,1,30,13,50,42,6,6,2,1997
Frankie Hejduk,TB ,D,23,22,1942,1,6,20,10,34,43,11,9,2,1997
Jorge Salcedo,CLB,M,28,26,2240,1,5,21,4,24,33,0,3,0,1997
Ryan Tinsley,KC ,D,31,29,2588,1,4,5,3,43,52,4,4,1,1997
Brian Kelly,MET,M,21,14,1354,1,4,23,9,17,26,9,0,0,1997
Ted Eck,DAL,M-F,30,22,1839,1,4,27,11,53,32,4,1,1,1997
Temoc Suarez,DAL,M,19,6,721,1,3,10,3,10,12,3,0,0,1997
Alejandro Farias,NE ,M,25,24,2070,1,3,11,5,38,36,1,2,1,1997
Jeff Agoos,DC ,D,29,27,2412,1,3,14,9,32,36,1,1,0,1997
Istvan Urbanyi,SJ ,M,23,19,1555,1,3,22,9,28,25,0,3,1,1997
Greg Vanney,LA ,D,28,27,2318,1,3,28,8,37,25,6,6,0,1997
Mike Clark,CLB,D,31,28,2484,1,2,7,4,34,27,3,4,0,1997
Branco,MET,D,11,11,922,1,2,8,6,18,13,0,3,3,1997
Paul Caligiuri,LA ,D,16,16,1406,1,2,9,7,17,7,3,4,1,1997
Diego Sonora,DAL,M-D,16,16,1421,1,2,9,4,15,25,7,2,0,1997
Edmundo Rodriguez,KC ,M,16,4,543,1,2,9,3,11,4,1,2,0,1997
Michael Emenalo,SJ ,D,27,26,2283,1,2,10,4,43,25,2,8,0,1997
Cle Kooiman,TB ,D,27,27,2296,1,2,10,5,68,19,0,6,2,1997
Mike Lapper,CLB,D,20,20,1785,1,2,12,4,32,26,0,2,0,1997
Brian Bliss,CLB,D,28,24,2047,1,2,13,1,38,27,3,2,0,1997
Zico,SJ ,F,7,3,257,1,1,4,3,2,14,3,0,0,1997
Billy Thompson,CLB,M,6,4,298,1,1,6,3,1,6,2,0,0,1997
Joao Batista,TB ,M,17,12,1051,1,1,6,3,26,21,2,4,0,1997
Jorge Flores,DAL,M,12,8,667,1,1,6,3,12,8,0,0,0,1997
Brian Johnson,KC ,M,14,10,951,1,1,11,6,4,8,0,0,0,1997
Paul Keegan,NE ,F,16,5,652,1,1,12,5,26,26,9,2,0,1997
Steve Rammel,COL,F,21,11,1132,1,1,20,13,23,20,21,1,0,1997
Musa Shannon,TB ,M-F,5,1,148,1,0,2,1,2,1,2,0,0,1997
Brian Kamler,DC ,M,5,1,161,1,0,5,3,1,2,1,0,0,1997
Mario Gori,DC ,D,8,8,609,1,0,5,4,6,7,3,3,0,1997
Clint Peay,DC ,D,13,8,814,1,0,6,3,12,7,1,1,0,1997
Brian Taylor,LA ,M,11,5,413,1,0,9,4,13,14,5,1,1,1997
Ansil Elcock,CLB,D,26,21,1858,1,0,10,2,38,31,2,3,1,1997
Darren Sawatzky,NE ,F,26,5,895,1,0,16,7,12,7,8,1,0,1997
Matt Kmosko,COL,D,31,31,2760,0,3,5,3,52,29,1,6,1,1997
Uche Okafor,KC ,D,27,27,2386,0,3,6,2,40,15,1,4,0,1997
Tim Martin,SJ ,D,28,28,2422,0,3,7,2,25,20,2,2,0,1997
Arnold Cruz,DC ,D,25,23,2058,0,3,17,6,16,28,0,3,1,1997
Sergio Miguez,CLB,D,17,16,1361,0,2,1,0,28,17,0,1,0,1997
David Vaudreuil,DC ,D,25,19,1790,0,2,4,2,21,18,2,0,0,1997
Adam Frye,TB ,D,18,17,1437,0,2,6,1,28,24,2,4,0,1997
Tom Soehn,DAL,D,25,21,1948,0,2,7,4,29,18,0,3,0,1997
Guillermo Jara,LA ,M,15,2,353,0,2,9,6,11,4,1,1,0,1997
Tote Castaneda,COL,M,24,18,1642,0,2,10,3,13,37,2,0,0,1997
Manny Lagos,MET,M,15,15,1216,0,2,11,6,14,31,2,1,0,1997
Marco Ferruzzi,TB ,M,19,5,578,0,2,15,5,11,13,4,1,0,1997
Mike Burns,NE ,M,32,32,2880,0,2,36,18,41,20,0,5,0,1997
Daniel Guzman,SJ ,F,3,3,219,0,1,0,0,3,4,9,0,0,1997
Brandon Pollard,DAL,D,21,16,1526,0,1,0,0,26,25,0,1,0,1997
Andrew Lewis,MET,M,19,15,1421,0,1,0,0,9,9,0,1,0,1997
Gerson Echeverry,MET,F,1,1,74,0,1,1,0,2,1,1,0,0,1997
Rafael Amaya,COL,D,7,3,236,0,1,2,1,11,2,0,1,0,1997
Bill Harte,NE ,M,9,5,459,0,1,3,1,10,3,1,0,0,1997
Peter Hattrup,DAL,M,7,2,225,0,1,4,2,3,1,2,0,0,1997
Jose Botello,LA ,F,7,0,151,0,1,4,1,10,3,1,0,0,1997
Tahj Jakins,COL,D,19,12,1132,0,1,5,2,25,12,1,2,0,1997
Oscar Draguicevich,SJ ,D,13,10,890,0,1,6,0,18,12,0,3,0,1997
Cristian da Silva,MET,D,14,6,592,0,1,7,1,13,8,0,1,0,1997
Ezra Hendrickson,LA ,D,14,6,797,0,1,7,2,9,10,0,1,0,1997
Richard Gough,KC ,D,17,17,1457,0,1,7,5,24,8,0,4,0,1997
Steve Jolley,LA ,D,12,10,882,0,1,7,4,25,17,1,0,0,1997
Guido,MET,M,9,9,792,0,1,7,1,17,10,2,2,0,1997
Rhett Harty,MET,D,26,26,2279,0,1,10,6,36,13,0,4,0,1997
Braeden Cloutier,MET,M,17,10,922,0,1,11,5,11,26,1,1,0,1997
Diego Gutierrez,KC ,D,0,0,0,0,0,0,0,0,0,0,0,0,1997
Rob Johnson,MET,F,2,0,29,0,0,0,0,2,1,0,0,0,1997
Brian Dunseth,NE ,D,5,1,185,0,0,0,0,2,0,0,0,0,1997
Brian Haynes,DAL,M,1,1,70,0,0,0,0,3,1,0,1,0,1997
Tayt Ianni,SJ ,D,1,1,45,0,0,0,0,0,0,0,0,0,1997
Nino Da Silva,KC ,F,1,0,12,0,0,0,0,0,0,0,0,0,1997
John Diffley,KC ,D,6,2,148,0,0,0,0,3,0,0,0,0,1997
Jake Dancy,KC ,M,3,0,116,0,0,0,0,2,1,0,0,0,1997
Altimont Butler,CLB,M,1,1,45,0,0,0,0,0,0,0,0,0,1997
Ubusuku Abukusumo,CLB,D,1,0,19,0,0,0,0,0,0,0,0,0,1997
Derek Backman,TB ,M,3,2,188,0,0,0,0,0,0,0,1,0,1997
Esmundo Rodriguez,SJ ,M,1,0,5,0,0,0,0,0,0,0,0,0,1997
Juan Sastoque,DAL,F,2,0,23,0,0,0,0,1,1,2,0,0,1997
Joey Thieman,DC ,M,3,0,58,0,0,0,0,2,0,0,0,0,1997
Dionysus Sebwe,KC ,D,0,0,0,0,0,0,0,0,0,0,0,0,1997
Ike Udeh,KC ,F,0,0,0,0,0,0,0,0,0,0,0,0,1997
Gabe Jones,DAL,F,1,0,7,0,0,0,0,0,0,0,0,0,1997
Steve Klein,NE ,M,4,0,73,0,0,0,0,1,3,1,0,0,1997
Peter Lak,LA ,D,2,1,33,0,0,0,0,0,0,0,0,0,1997
Greg Lalas,NE ,D,2,0,6,0,0,0,0,0,0,0,0,0,1997
Gerardo Laterza,LA ,M,4,1,128,0,0,0,0,2,1,0,0,0,1997
Jamel Mitchell,KC ,M,1,0,16,0,0,0,0,0,0,0,0,0,1997
David Moxom,TB ,D,0,0,0,0,0,0,0,0,0,0,0,0,1997
Patrick Olalere,NE ,F,1,0,21,0,0,0,0,0,0,1,0,0,1997
Curt Onalfo,SJ ,D,6,3,179,0,0,0,0,5,1,0,1,0,1997
Kevin Wylie,NE ,F,3,0,31,0,0,0,0,1,0,0,0,0,1997
Francis Okaroh,NE ,D,29,29,2528,0,0,1,1,38,35,0,2,0,1997
Todd Miller,CLB,M,3,1,81,0,0,1,0,4,0,0,0,0,1997
Matt Knowles,MET,D,4,2,173,0,0,1,1,2,3,0,1,0,1997
Joao Luiz,MET,D,7,7,585,0,0,1,1,14,8,0,0,0,1997
Dan Stebbins,DAL,F,1,1,38,0,0,1,1,0,2,0,0,0,1997
Damian Silvera,KC ,M,3,1,166,0,0,1,0,3,5,0,0,0,1997
Marco Rizi,MET,D,1,0,33,0,0,1,0,1,0,0,0,0,1997
Richard Farrer,DAL,D,8,6,503,0,0,1,1,5,3,2,0,0,1997
Carlos Llamosa,DC ,D,25,20,1817,0,0,1,0,28,23,0,4,0,1997
Eric Quill,TB ,F,2,1,108,0,0,1,1,2,2,1,0,0,1997
Scott Benedetti,COL,F,3,1,133,0,0,2,0,2,5,0,0,0,1997
Joey Martinez,DAL,D,19,19,1503,0,0,2,2,24,5,0,4,0,1997
Brad Wilson,LA ,D,3,3,222,0,0,2,1,5,1,0,1,0,1997
Jeff Zaun,MET,D,10,6,623,0,0,3,1,7,6,1,3,0,1997
Janusz Michallik,CLB,M,10,6,447,0,0,3,0,5,6,0,0,0,1997
Chris Martinez,COL,D,8,3,330,0,0,3,1,4,4,0,0,0,1997
Carlos Parra,MET,M,4,3,273,0,0,3,2,4,4,0,1,0,1997
Brian Bates,COL,M,11,7,540,0,0,3,1,4,5,0,1,0,1997
Erik Imler,DC ,M,15,9,855,0,0,3,1,11,6,1,1,0,1997
Robin Fraser,LA ,D,24,24,2021,0,0,3,0,22,14,0,5,0,1997
Ante Razov,LA ,F,3,0,79,0,0,3,3,1,4,1,0,0,1997
Eric Dade,DAL,D,15,14,1306,0,0,4,2,31,8,0,1,0,1997
John DeBrito,KC ,D,10,8,621,0,0,5,3,15,3,1,0,0,1997
John Jones,LA ,M,5,0,91,0,0,5,3,2,3,1,1,1,1997
Silvio Rudman,CLB,M,6,2,191,0,0,5,2,2,1,1,1,0,1997
Leonardo Squadrone,NE ,D,23,23,1881,0,0,5,1,39,9,2,3,0,1997
Frank Yallop,TB ,D,27,27,2430,0,0,6,1,24,10,0,2,0,1997
Kerry Zavagnin,MET,M,21,12,1089,0,0,8,3,12,11,1,2,0,1997
Dan Calichman,LA ,D,32,32,2848,0,0,8,2,41,41,0,7,0,1997
Mike Duhaney,TB ,D,27,25,2205,0,0,8,3,21,14,1,3,0,1997
Rob Jachym,CLB,F,9,1,247,0,0,10,5,3,2,2,1,0,1997
Ramiro Corrales,SJ ,M,14,11,1033,0,0,10,4,21,13,0,2,0,1997
Rob Smith,CLB,M,25,8,1106,0,0,11,2,12,12,7,1,0,1997
Steve Pittman,KC ,D,26,23,2068,0,0,13,3,26,11,1,5,0,1997
Stern John,CLB,F,27,25,2170,26,5,116,47,55,68,39,2,0,1998
Cobi Jones,LA ,M,24,24,2136,19,13,63,41,19,51,21,1,0,1998
Raul Diaz Arce,NE ,F,32,32,2878,18,8,90,51,57,40,44,2,0,1998
Roy Lassiter,DC ,F,31,29,2691,18,8,101,52,33,42,41,5,0,1998
Welton,LA ,F,31,29,2435,17,11,63,37,45,36,33,1,1,1998
Jaime Moreno,DC ,F,31,31,2610,16,11,87,48,42,60,15,2,1,1998
Giovanni Savarese,MET,F,30,25,2163,14,7,61,37,48,44,23,3,0,1998
Mauricio Cienfuegos,LA ,M,30,30,2640,13,16,36,25,34,54,9,3,0,1998
Ronald Cerritos,SJ ,F,31,30,2702,13,12,87,50,14,38,41,4,0,1998
Wolde Harris,COL,F,27,10,1133,13,4,42,22,18,16,19,2,0,1998
